,region,surface_area,gnp
0,Caribbean,193.0,828.0
1,Southern and Central Asia,652090.0,5976.0
2,Central Africa,1246700.0,6648.0
3,Caribbean,96.0,63.2
4,Southern Europe,28748.0,3205.0
5,Southern Europe,468.0,1630.0
6,Caribbean,800.0,1941.0
7,Middle East,83600.0,37966.0
8,South America,2780400.0,340238.0
9,Middle East,29800.0,1813.0
10,Polynesia,199.0,334.0
11,Antarctica,13120000.0,0.0
12,Antarctica,7780.0,0.0
13,Caribbean,442.0,612.0
14,Australia and New Zealand,7741220.0,351182.0
15,Western Europe,83859.0,211860.0
16,Middle East,86600.0,4127.0
17,Eastern Africa,27834.0,903.0
18,Western Europe,30518.0,249704.0
19,Western Africa,112622.0,2357.0
20,Western Africa,274000.0,2425.0
21,Southern and Central Asia,143998.0,32852.0
22,Eastern Europe,110994.0,12178.0
23,Middle East,694.0,6366.0
24,Caribbean,13878.0,3527.0
25,Southern Europe,51197.0,2841.0
26,Eastern Europe,207600.0,13714.0
27,Central America,22696.0,630.0
28,North America,53.0,2328.0
29,South America,1098581.0,8571.0
30,South America,8547403.0,776739.0
31,Caribbean,430.0,2223.0
32,Southeast Asia,5765.0,11705.0
33,Southern and Central Asia,47000.0,372.0
34,Antarctica,59.0,0.0
35,Southern Africa,581730.0,4834.0
36,Central Africa,622984.0,1054.0
37,North America,9970610.0,598862.0
38,Australia and New Zealand,14.0,0.0
39,Western Europe,41284.0,264478.0
40,South America,756626.0,72949.0
41,Eastern Asia,9572900.0,982268.0
42,Western Africa,322463.0,11345.0
43,Central Africa,475442.0,9174.0
44,Central Africa,2344858.0,6964.0
45,Central Africa,342000.0,2108.0
46,Polynesia,236.0,100.0
47,South America,1138914.0,102896.0
48,Eastern Africa,1862.0,4401.0
49,Western Africa,4033.0,435.0
50,Central America,51100.0,10226.0
51,Caribbean,110861.0,17843.0
52,Australia and New Zealand,135.0,0.0
53,Caribbean,264.0,1263.0
54,Middle East,9251.0,9333.0
55,Eastern Europe,78866.0,55017.0
56,Western Europe,357022.0,2133367.0
57,Eastern Africa,23200.0,382.0
58,Caribbean,751.0,256.0
59,Nordic Countries,43094.0,174099.0
60,Caribbean,48511.0,15846.0
61,Northern Africa,2381741.0,49982.0
62,South America,283561.0,19770.0
63,Northern Africa,1001449.0,82710.0
64,Eastern Africa,117600.0,650.0
65,Northern Africa,266000.0,60.0
66,Southern Europe,505992.0,553233.0
67,Baltic Countries,45227.0,5328.0
68,Eastern Africa,1104300.0,6353.0
69,Nordic Countries,338145.0,121914.0
70,Melanesia,18274.0,1536.0
71,South America,12173.0,0.0
72,Western Europe,551500.0,1424285.0
73,Nordic Countries,1399.0,0.0
74,Micronesia,702.0,212.0
75,Central Africa,267668.0,5493.0
76,British Islands,242900.0,1378330.0
77,Middle East,69700.0,6064.0
78,Western Africa,238533.0,7137.0
79,Southern Europe,6.0,258.0
80,Western Africa,245857.0,2352.0
81,Caribbean,1705.0,3501.0
82,Western Africa,11295.0,320.0
83,Western Africa,36125.0,293.0
84,Central Africa,28051.0,283.0
85,Southern Europe,131626.0,120724.0
86,Caribbean,344.0,318.0
87,North America,2166090.0,0.0
88,Central America,108889.0,19008.0
89,South America,90000.0,681.0
90,Micronesia,549.0,1197.0
91,South America,214969.0,722.0
92,Eastern Asia,1075.0,166448.0
93,Antarctica,359.0,0.0
94,Central America,112088.0,5333.0
95,Southern Europe,56538.0,20208.0
96,Caribbean,27750.0,3459.0
97,Eastern Europe,93030.0,48267.0
98,Southeast Asia,1904569.0,84982.0
99,Southern and Central Asia,3287263.0,447114.0
100,Eastern Africa,78.0,0.0
101,British Islands,70273.0,75921.0
102,Southern and Central Asia,1648195.0,195746.0
103,Middle East,438317.0,11500.0
104,Nordic Countries,103000.0,8255.0
105,Middle East,21056.0,97477.0
106,Southern Europe,301316.0,1161755.0
107,Caribbean,10990.0,6871.0
108,Middle East,88946.0,7526.0
109,Eastern Asia,377829.0,3787042.0
110,Southern and Central Asia,2724900.0,24375.0
111,Eastern Africa,580367.0,9217.0
112,Southern and Central Asia,199900.0,1626.0
113,Southeast Asia,181035.0,5121.0
114,Micronesia,726.0,40.7
115,Caribbean,261.0,299.0
116,Eastern Asia,99434.0,320749.0
117,Middle East,17818.0,27037.0
118,Southeast Asia,236800.0,1292.0
119,Middle East,10400.0,17121.0
120,Western Africa,111369.0,2012.0
121,Northern Africa,1759540.0,44806.0
122,Caribbean,622.0,571.0
123,Western Europe,160.0,1119.0
124,Southern and Central Asia,65610.0,15706.0
125,Southern Africa,30355.0,1061.0
126,Baltic Countries,65301.0,10692.0
127,Western Europe,2586.0,16321.0
128,Baltic Countries,64589.0,6398.0
129,Eastern Asia,18.0,5749.0
130,Northern Africa,446550.0,36124.0
131,Western Europe,1.5,776.0
132,Eastern Europe,33851.0,1579.0
133,Eastern Africa,587041.0,3750.0
134,Southern and Central Asia,298.0,199.0
135,Central America,1958201.0,414972.0
136,Micronesia,181.0,97.0
137,Southern Europe,25713.0,1694.0
138,Western Africa,1240192.0,2642.0
139,Southern Europe,316.0,3512.0
140,Southeast Asia,676578.0,180375.0
141,Eastern Asia,1566500.0,1043.0
142,Micronesia,464.0,0.0
143,Eastern Africa,801590.0,2891.0
144,Western Africa,1025520.0,998.0
145,Caribbean,102.0,109.0
146,Caribbean,1102.0,2731.0
147,Eastern Africa,2040.0,4251.0
148,Eastern Africa,118484.0,1687.0
149,Southeast Asia,329758.0,69213.0
150,Eastern Africa,373.0,0.0
151,Southern Africa,824292.0,3101.0
152,Melanesia,18575.0,3563.0
153,Western Africa,1267000.0,1706.0
154,Australia and New Zealand,36.0,0.0
155,Western Africa,923768.0,65707.0
156,Central America,130000.0,1988.0
157,Polynesia,260.0,0.0
158,Western Europe,41526.0,371362.0
159,Nordic Countries,323877.0,145895.0
160,Southern and Central Asia,147181.0,4768.0
161,Micronesia,21.0,197.0
162,Australia and New Zealand,270534.0,54669.0
163,Middle East,309500.0,16904.0
164,Southern and Central Asia,796095.0,61289.0
165,Central America,75517.0,9131.0
166,Polynesia,49.0,0.0
167,South America,1285216.0,64140.0
168,Southeast Asia,300000.0,65107.0
169,Micronesia,459.0,105.0
170,Melanesia,462840.0,4988.0
171,Eastern Europe,323250.0,151697.0
172,Caribbean,8875.0,34100.0
173,Eastern Asia,120538.0,5332.0
174,Southern Europe,91982.0,105954.0
175,South America,406752.0,8444.0
176,Middle East,6257.0,4173.0
177,Polynesia,4000.0,818.0
178,Middle East,11000.0,9472.0
179,Eastern Africa,2510.0,8287.0
180,Eastern Europe,238391.0,38158.0
181,Eastern Europe,17075400.0,276608.0
182,Eastern Africa,26338.0,2036.0
183,Middle East,2149690.0,137635.0
184,Northern Africa,2505813.0,10162.0
185,Western Africa,196722.0,4787.0
186,Southeast Asia,618.0,86503.0
187,Antarctica,3903.0,0.0
188,Western Africa,314.0,0.0
189,Nordic Countries,62422.0,0.0
190,Melanesia,28896.0,182.0
191,Western Africa,71740.0,746.0
192,Central America,21041.0,11863.0
193,Southern Europe,61.0,510.0
194,Eastern Africa,637657.0,935.0
195,North America,242.0,0.0
196,Central Africa,964.0,6.0
197,South America,163265.0,870.0
198,Eastern Europe,49012.0,20594.0
199,Southern Europe,20256.0,19756.0
200,Nordic Countries,449964.0,226492.0
201,Southern Africa,17364.0,1206.0
202,Eastern Africa,455.0,536.0
203,Middle East,185180.0,65984.0
204,Caribbean,430.0,96.0
205,Central Africa,1284000.0,1208.0
206,Western Africa,56785.0,1449.0
207,Southeast Asia,513115.0,116416.0
208,Southern and Central Asia,143100.0,1990.0
209,Polynesia,12.0,0.0
210,Southern and Central Asia,488100.0,4397.0
211,Southeast Asia,14874.0,0.0
212,Polynesia,650.0,146.0
213,Caribbean,5130.0,6232.0
214,Northern Africa,163610.0,20026.0
215,Middle East,774815.0,210721.0
216,Polynesia,26.0,6.0
217,Eastern Asia,36188.0,256254.0
218,Eastern Africa,883749.0,8005.0
219,Eastern Africa,241038.0,6313.0
220,Eastern Europe,603700.0,42168.0
221,Micronesia/Caribbean,16.0,0.0
222,South America,175016.0,20831.0
223,North America,9363520.0,8510700.0
224,Southern and Central Asia,447400.0,14194.0
225,Southern Europe,0.4,9.0
226,Caribbean,388.0,285.0
227,South America,912050.0,95023.0
228,Caribbean,151.0,612.0
229,Caribbean,347.0,0.0
230,Southeast Asia,331689.0,21929.0
231,Melanesia,12189.0,261.0
232,Polynesia,200.0,0.0
233,Polynesia,2831.0,141.0
234,Middle East,527968.0,6041.0
235,Southern Europe,102173.0,17000.0
236,Southern Africa,1221037.0,116729.0
237,Eastern Africa,752618.0,3377.0
238,Eastern Africa,390757.0,5951.0
